Datetime,CRUD.L,BRNT.L,DBO,BNO,USO,3175.HK,IAU,GLD,AAAU,SGOL,FTGC,BCD,SLV
2026-03-30 08:00:00+08:00,14.847999572753906,85.45999908447266,20.81999969482422,53.9900016784668,129.8300018310547,10.380000114440918,84.93000030517578,414.5799865722656,44.52000045776367,43.0,28.559999465942383,36.02000045776367,63.52000045776367
2026-03-31 08:00:00+08:00,14.833000183105469,84.80000305175781,19.670000076293945,52.0099983215332,127.25,10.319999694824219,88.16000366210938,430.2900085449219,46.189998626708984,44.619998931884766,28.709999084472656,35.779998779296875,68.13999938964844
2026-04-01 08:00:00+08:00,13.869000434875488,79.6500015258789,19.030000686645508,50.33000183105469,124.08999633789062,9.710000038146973,89.68000030517578,437.82000732421875,47.0099983215332,45.400001525878906,28.489999771118164,35.59000015258789,68.13999938964844
2026-04-02 08:00:00+08:00,14.295999526977539,83.0,19.420000076293945,54.119998931884766,137.9199981689453,10.3100004196167,87.94000244140625,429.4100036621094,46.09000015258789,44.5099983215332,28.8799991607666,35.63999938964844,65.79000091552734
2026-04-06 08:00:00+08:00,14.295999526977539,83.0,19.790000915527344,54.66999816894531,138.94000244140625,10.3100004196167,87.61000061035156,427.6499938964844,45.93000030517578,44.349998474121094,28.93000030517578,35.790000915527344,66.08999633789062
2026-04-07 08:00:00+08:00,15.017999649047852,85.66000366210938,19.889999389648438,53.52000045776367,138.0800018310547,10.3100004196167,88.45999908447266,431.80999755859375,46.36000061035156,44.779998779296875,28.767000198364258,35.849998474121094,65.94000244140625
2026-04-08 08:00:00+08:00,13.607999801635742,76.75,19.6299991607666,48.02000045776367,124.58000183105469,9.444999694824219,89.04000091552734,434.5299987792969,46.63999938964844,45.06999969482422,28.190000534057617,35.65999984741211,67.47000122070312
2026-04-09 08:00:00+08:00,13.982000350952148,77.98999786376953,19.670000076293945,48.52000045776367,126.95999908447266,9.8149995803833,89.72000122070312,437.9100036621094,47.02000045776367,45.43000030517578,28.270000457763672,35.65999984741211,68.38999938964844
2026-04-10 08:00:00+08:00,14.07800006866455,78.11000061035156,19.709999084472656,47.25,124.81999969482422,9.789999961853027,89.55999755859375,437.1300048828125,46.95000076293945,45.34000015258789,28.239999771118164,35.7400016784668,69.08000183105469
2026-04-13 08:00:00+08:00,14.607500076293945,81.1500015258789,20.3799991607666,49.06999969482422,128.47000122070312,10.149999618530273,89.20999908447266,435.3599853515625,46.7599983215332,45.16999816894531,28.520000457763672,36.029998779296875,68.27999877929688
2026-04-14 08:00:00+08:00,14.085000038146973,77.7300033569336,19.969999313354492,47.5099983215332,123.8499984741211,9.970000267028809,91.18000030517578,445.0899963378906,47.790000915527344,46.15999984741211,28.610000610351562,36.15999984741211,72.04000091552734
2026-04-15 08:00:00+08:00,14.222999572753906,78.25,20.040000915527344,47.31999969482422,122.58999633789062,9.739999771118164,90.23999786376953,440.4599914550781,47.29999923706055,45.68000030517578,28.68000030517578,36.209999084472656,71.83999633789062
2026-04-16 08:00:00+08:00,14.314000129699707,79.54000091552734,20.190000534057617,49.08000183105469,125.83999633789062,9.649999618530273,90.16000366210938,440.0799865722656,47.27000045776367,45.650001525878906,28.829999923706055,36.310001373291016,71.23999786376953
2026-04-17 08:00:00+08:00,13.17199993133545,73.11000061035156,19.1299991607666,45.470001220703125,116.04000091552734,9.770000457763672,91.33999633789062,445.92999267578125,47.88999938964844,46.2400016784668,28.280000686645508,35.84000015258789,73.62999725341797
2026-04-20 08:00:00+08:00,13.852999687194824,77.08999633789062,19.68000030517578,47.45000076293945,121.31999969482422,9.649999618530273,90.56999969482422,442.0899963378906,47.470001220703125,45.84000015258789,28.4950008392334,36.08000183105469,72.1500015258789
2026-04-21 08:00:00+08:00,14.140999794006348,79.27999877929688,20.389999389648438,50.06999969482422,128.25,9.529999732971191,88.04000091552734,429.57000732421875,46.13999938964844,44.560001373291016,28.739999771118164,36.279998779296875,68.48999786376953
