Datetime,CRUD.L,BRNT.L,DBO,BNO,USO,3175.HK,IAU,GLD,AAAU,SGOL,FTGC,BCD,SLV,hf_CL,hf_OIL,hf_GC,hf_SI
2026-05-13 16:30:00+08:00,15.972999572753906,91.19999694824219,,,,,,,,,,,,101.61000061035156,107.29000091552734,4703.5,87.0199966430664
2026-05-13 16:00:00+08:00,15.970000267028809,91.08999633789062,,,,11.079999923706055,,,,,,,,101.19999694824219,106.91000366210938,4704.5,87.0199966430664
2026-05-13 15:30:00+08:00,15.920000076293945,90.97000122070312,,,,11.079999923706055,,,,,,,,101.2300033569336,106.83000183105469,4710.39990234375,87.2300033569336
2026-05-13 15:00:00+08:00,15.885000228881836,90.6500015258789,,,,11.039999961853027,,,,,,,,100.7699966430664,106.36000061035156,4715.7001953125,87.50499725341797
2026-05-13 14:30:00+08:00,,,,,,11.069999694824219,,,,,,,,100.9800033569336,106.48999786376953,4709.7998046875,87.34500122070312
2026-05-13 14:00:00+08:00,,,,,,11.020000457763672,,,,,,,,100.7699966430664,106.29000091552734,4716.39990234375,87.32499694824219
2026-05-13 13:30:00+08:00,,,,,,11.020000457763672,,,,,,,,100.66999816894531,106.18000030517578,4711.39990234375,87.13500213623047
2026-05-13 13:00:00+08:00,,,,,,11.020000457763672,,,,,,,,100.75,106.19999694824219,4706.0,86.8499984741211
2026-05-13 12:30:00+08:00,,,,,,,,,,,,,,100.75,106.2699966430664,4707.89990234375,87.125
2026-05-13 12:00:00+08:00,,,,,,,,,,,,,,100.87000274658203,106.41000366210938,4709.39990234375,87.37000274658203
2026-05-13 11:30:00+08:00,,,,,,11.039999961853027,,,,,,,,101.08000183105469,106.52999877929688,4703.0,87.2750015258789
2026-05-13 11:00:00+08:00,,,,,,11.039999961853027,,,,,,,,101.05000305175781,106.5999984741211,4708.7001953125,87.27999877929688
2026-05-13 10:30:00+08:00,,,,,,11.050000190734863,,,,,,,,101.06999969482422,106.51000213623047,4700.60009765625,86.90499877929688
2026-05-13 10:00:00+08:00,,,,,,11.100000381469727,,,,,,,,101.55999755859375,107.05999755859375,4708.10009765625,87.67500305175781
2026-05-13 09:30:00+08:00,,,,,,11.109999656677246,,,,,,,,101.58000183105469,107.11000061035156,4710.89990234375,87.55500030517578
2026-05-13 09:00:00+08:00,,,,,,,,,,,,,,101.4800033569336,106.8499984741211,4712.2001953125,87.56999969482422
2026-05-13 08:30:00+08:00,,,,,,,,,,,,,,101.45999908447266,106.87000274658203,4723.0,87.94000244140625
2026-05-13 08:00:00+08:00,,,,,,,,,,,,,,101.52999877929688,107.04000091552734,4730.89990234375,88.19999694824219
2026-05-13 07:30:00+08:00,,,,,,,,,,,,,,102.06999969482422,107.44999694824219,4724.7001953125,87.8949966430664
